type,grade,pfs_0,pfs_0_months,pfs_1,pfs_1_months,pfs_1_perc,dss_0,dss_0_months,dss_1,dss_1_months,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p
Chemo_0_Hormo_0,1,4,242.88,2,44.56,33.33,5,202.30,1,49.13,16.67,0.0000,NaN,0.0000,NaN,0.0000,NaN,0.0000,NaN
Chemo_0_Hormo_0,2,9,180.78,8,100.90,47.06,14,155.83,3,84.21,17.65,1.2395,0.549563,0.3037,0.131707,3.3048,0.023189,0.8096,0.840825
Chemo_0_Hormo_0,3,21,215.13,6,39.03,22.22,21,219.97,6,22.08,22.22,1.8951,0.095033,2.2502,0.375728,1.9460,0.080360,0.0000,NaN
Chemo_0_Hormo_1,1,2,31.77,0,nan,0.00,2,31.77,0,nan,0.00,NaN,NaN,0.0000,NaN,NaN,NaN,0.0000,NaN
Chemo_0_Hormo_1,2,6,117.14,1,33.17,14.29,6,117.14,1,33.17,14.29,1.2722,0.828812,0.3037,0.131707,0.6361,0.732440,0.8096,0.840825
Chemo_0_Hormo_1,3,1,32.63,1,15.07,50.00,0,nan,2,23.85,0.00,0.6000,0.562591,2.2502,0.375728,NaN,NaN,0.0000,NaN
Chemo_1_Hormo_0,1,0,nan,0,nan,0.00,0,nan,0,nan,0.00,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1_Hormo_0,2,5,207.36,7,35.02,58.33,5,207.36,7,35.02,58.33,1.2395,0.549563,0.3117,0.048734,3.3048,0.023189,0.1558,0.013255
Chemo_1_Hormo_0,3,22,159.38,16,33.19,42.11,21,153.58,16,42.32,43.24,1.8951,0.095033,0.7124,0.366477,1.9460,0.080360,0.8094,0.544908
Chemo_1_Hormo_1,1,0,nan,0,nan,0.00,0,nan,0,nan,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chemo_1_Hormo_1,2,9,58.97,2,26.88,18.18,10,53.55,1,49.00,9.09,1.2722,0.828812,0.3117,0.048734,0.6361,0.732440,0.1558,0.013255
Chemo_1_Hormo_1,3,14,99.78,6,51.66,30.00,13,103.71,7,51.22,35.00,0.6000,0.562591,0.7124,0.366477,NaN,NaN,0.8094,0.544908
Chemo_0,1,6,172.50,2,44.56,25.00,7,153.58,1,49.13,12.50,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_0,2,15,155.32,9,93.37,37.50,20,144.22,4,71.45,16.67,1.0435,0.908489,NaN,NaN,2.0864,0.154499,NaN,NaN
Chemo_0,3,22,206.83,7,35.61,24.14,21,219.97,8,22.53,27.59,1.5713,0.198256,NaN,NaN,1.4625,0.243794,NaN,NaN
Chemo_1,1,0,nan,0,nan,0.00,0,nan,0,nan,0.00,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Chemo_1,2,14,111.97,9,33.21,39.13,15,104.82,8,36.77,34.78,1.0435,0.908489,NaN,NaN,2.0864,0.154499,NaN,NaN
Chemo_1,3,36,136.20,22,38.23,37.93,34,134.51,23,45.03,40.35,1.5713,0.198256,NaN,NaN,1.4625,0.243794,NaN,NaN
Hormon_0,1,4,242.88,2,44.56,33.33,5,202.30,1,49.13,16.67,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Hormon_0,2,14,190.27,15,70.15,51.72,19,169.39,10,49.78,34.48,0.3223,0.016243,NaN,NaN,0.3222,0.074054,NaN,NaN
Hormon_0,3,43,186.60,22,34.78,33.85,42,186.77,22,36.80,34.38,0.9400,0.861542,NaN,NaN,1.1899,0.581875,NaN,NaN
Hormon_1,1,2,31.77,0,nan,0.00,2,31.77,0,nan,0.00,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
Hormon_1,2,15,82.24,3,28.98,16.67,16,77.40,2,41.09,11.11,0.3223,0.016243,NaN,NaN,0.3222,0.074054,NaN,NaN
Hormon_1,3,15,95.30,7,46.43,31.82,13,103.71,9,45.14,40.91,0.9400,0.861542,NaN,NaN,1.1899,0.581875,NaN,NaN
