type,condition_type,condition_value,pfs_0,pfs_0_months_mean,pfs_0_months_std,pfs_1,pfs_1_months_mean,pfs_1_months_std,pfs_1_perc,dss_0,dss_0_months_mean,dss_0_months_std,dss_1,dss_1_months_mean,dss_1_months_std,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p,significance
Chemo_0_Hormo_0,grade,1,14,137.67,94.64,8,71.86,71.75,36.36,16,137.80,93.72,6,49.59,42.01,27.27,1.3751,0.702918,0.7098,0.409411,,,0.473,0.187684,
Chemo_0_Hormo_0,grade,2,45,173.32,92.60,29,99.75,68.37,39.19,52,155.88,93.99,21,121.77,78.20,28.77,0.4254,0.026534,0.9061,0.596176,0.3476,0.040657,1.1164,0.617057,"PFS (p<0.05), DDS (p<0.05)"
Chemo_0_Hormo_0,grade,3,51,178.95,96.24,30,37.41,33.95,37.04,53,164.76,100.83,27,46.71,55.57,33.75,0.8232,0.376599,1.1215,0.515933,0.9034,0.65657,1.1484,0.465525,
Chemo_0_Hormo_1,grade,1,23,87.64,66.34,8,80.71,31.55,25.81,27,89.02,62.12,4,64.48,23.40,12.90,0.6459,0.632912,0.7098,0.409411,1.2922,0.805047,0.473,0.187684,
Chemo_0_Hormo_1,grade,2,89,121.47,81.56,49,68.45,53.01,35.51,93,118.61,80.42,44,70.51,57.05,32.12,0.3199,0.002267,0.9061,0.596176,0.3537,0.00703,1.1164,0.617057,"PFS (p<0.05), DDS (p<0.05)"
Chemo_0_Hormo_1,grade,3,76,154.57,75.11,54,55.47,56.49,41.54,79,147.34,79.05,50,55.66,48.42,38.76,1.0833,0.653811,1.1215,0.515933,0.9889,0.955311,1.1484,0.465525,
Chemo_1_Hormo_0,grade,1,1,68.80,nan,1,6.03,nan,50.00,2,37.41,44.39,0,nan,nan,nan,1.3751,0.702918,0.3334,0.345779,,,,,
Chemo_1_Hormo_0,grade,2,25,63.24,80.44,5,50.51,55.07,16.67,27,62.90,78.60,3,45.09,57.51,10.00,0.4254,0.026534,0.6815,0.512375,0.3476,0.040657,1.136,0.852857,"PFS (p<0.05), DDS (p<0.05)"
Chemo_1_Hormo_0,grade,3,57,92.91,82.06,25,19.90,13.97,30.49,57,92.40,82.03,25,21.08,19.60,30.49,0.8232,0.376599,1.4759,0.07621,0.9034,0.65657,1.2571,0.328937,
Chemo_1_Hormo_1,grade,1,5,55.18,38.09,1,56.50,nan,16.67,5,55.18,38.09,1,56.50,nan,16.67,0.6459,0.632912,0.3334,0.345779,1.2922,0.805047,,,
Chemo_1_Hormo_1,grade,2,39,62.49,53.88,5,58.87,46.43,11.36,39,62.17,54.01,5,61.30,45.17,11.36,0.3199,0.002267,0.6815,0.512375,0.3537,0.00703,1.136,0.852857,"PFS (p<0.05), DDS (p<0.05)"
Chemo_1_Hormo_1,grade,3,33,77.57,61.60,27,45.28,43.46,45.00,37,78.56,60.03,23,38.07,38.76,38.33,1.0833,0.653811,1.4759,0.07621,0.9889,0.955311,1.2571,0.328937,
Chemo_0,grade,1,37,106.57,80.80,16,76.29,53.74,30.19,43,107.17,78.07,10,55.55,34.96,18.87,0.8281,0.764223,,,0.6624,0.662343,,,
Chemo_0,grade,2,134,138.88,88.55,78,80.09,60.69,36.79,145,131.98,87.07,65,87.07,68.42,30.95,0.3672,0.000187,,,0.3493,0.000651,,,"PFS (p<0.05), DDS (p<0.05)"
Chemo_0,grade,3,127,164.36,84.72,84,49.02,50.16,39.81,132,154.34,88.49,77,52.52,50.85,36.84,0.9199,0.545822,,,0.9175,0.559473,,,
Chemo_1,grade,1,6,57.45,34.52,2,31.27,35.69,25.00,7,50.10,37.03,1,56.50,nan,12.50,0.8281,0.764223,,,0.6624,0.662343,,,
Chemo_1,grade,2,64,62.78,64.93,10,54.69,48.22,13.51,66,62.47,64.63,8,55.22,46.70,10.81,0.3672,0.000187,,,0.3493,0.000651,,,"PFS (p<0.05), DDS (p<0.05)"
Chemo_1,grade,3,90,87.29,75.21,52,33.08,34.91,36.62,94,86.95,74.11,48,29.22,31.19,33.80,0.9199,0.545822,,,0.9175,0.559473,,,
Hormon_0,grade,1,15,133.08,92.92,9,64.55,70.61,37.50,18,126.64,94.45,6,49.59,42.01,25.00,0.6485,0.27036,,,0.5404,0.254316,,,
Hormon_0,grade,2,70,134.01,102.67,34,92.51,68.17,32.69,79,124.10,99.02,24,112.18,79.22,23.30,0.9076,0.594267,,,1.1618,0.484475,,,
Hormon_0,grade,3,108,133.54,98.56,55,29.45,27.99,33.74,110,127.27,98.12,52,34.38,43.84,32.10,1.2635,0.0871,,,1.2031,0.203098,,,
Hormon_1,grade,1,28,81.84,62.94,9,78.02,30.59,24.32,32,83.73,59.83,5,62.89,20.58,13.51,0.6485,0.27036,,,0.5404,0.254316,,,
Hormon_1,grade,2,128,103.50,78.87,54,67.56,52.11,29.67,132,101.94,77.82,49,69.57,55.62,27.07,0.9076,0.594267,,,1.1618,0.484475,,,
Hormon_1,grade,3,109,131.26,79.40,81,52.07,52.46,42.63,116,125.41,80.02,73,50.12,46.06,38.62,1.2635,0.0871,,,1.2031,0.203098,,,
