type,condition_type,condition_value,pfs_0,pfs_0_months_mean,pfs_0_months_std,pfs_1,pfs_1_months_mean,pfs_1_months_std,pfs_1_perc,dss_0,dss_0_months_mean,dss_0_months_std,dss_1,dss_1_months_mean,dss_1_months_std,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p,significance
Chemo_0_Hormo_0,pathologic_stage,I,133,184.25,83.39,83,77.40,65.54,38.43,153,170.74,85.80,62,73.40,70.60,28.84,0.5204,0.153437,0.5477,0.0004,0.6935,0.462383,0.7757,0.164858,PFS 2nd (p<0.05)
Chemo_0_Hormo_0,pathologic_stage,IA,3,24.08,5.07,0,nan,nan,nan,3,24.08,5.07,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,IB,1,21.17,nan,0,nan,nan,nan,1,21.17,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,II,95,156.89,94.70,62,48.22,51.81,39.49,97,150.36,94.97,60,55.15,64.83,38.22,1.293,0.073685,0.9924,0.949525,1.4197,0.013277,0.9605,0.745186,
Chemo_0_Hormo_0,pathologic_stage,IIA,4,12.44,5.27,0,nan,nan,nan,4,12.44,5.27,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,IIB,4,46.96,58.27,0,nan,nan,nan,3,52.72,69.96,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,III,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,IIIA,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,IIIB,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_0,pathologic_stage,IIIC,1,9.10,nan,0,nan,nan,nan,1,9.10,nan,0,nan,nan,nan,,,,,,,,,
