GO_ID,SPECIES,local_cc_10,edges_10
GO_0000278,AT,0.208145455,0.179876669
GO_0000502,AT,0.602446242,0.467331292
GO_0000902,AT,0.171441342,0.22913116
GO_0000910,AT,0.028258268,0.027014819
GO_0002181,AT,0.196313189,0.250317472
GO_0002376,AT,0.126568973,0.15998583
GO_0003012,AT,0,0
GO_0003013,AT,0,0
GO_0003014,AT,0,0
GO_0003016,AT,0,0
GO_0005975,AT,0.166930236,0.291665143
GO_0006091,AT,0.314564615,0.453954259
GO_0006099,AT,0.265358081,0.381177316
GO_0006259,AT,0.365376712,0.51462849
GO_0006260,AT,0.334096105,0.408381292
GO_0006281,AT,0.400731575,0.524422627
GO_0006310,AT,0.268366009,0.430061314
GO_0006325,AT,0.163110746,0.286461599
GO_0006351,AT,0.399920603,0.482800852
GO_0006355,AT,0.100089057,0.141158805
GO_0006399,AT,0.111212117,0.274924793
GO_0006412,AT,0.367117605,0.518835498
GO_0006457,AT,0.101925041,0.164640975
GO_0006486,AT,0.261303816,0.311754776
GO_0006520,AT,0.31455978,0.371903268
GO_0006575,AT,0.078354698,0.056184599
GO_0006629,AT,0.197837908,0.274166704
GO_0006766,AT,0.037878161,0.105711745
GO_0006790,AT,0.247146995,0.347761672
GO_0006886,AT,0.278194731,0.234245241
GO_0006913,AT,0.269825788,0.325525479
GO_0006914,AT,0.419325096,0.414664976
GO_0006954,AT,0,0
GO_0007005,AT,0.377982741,0.419555712
GO_0007010,AT,0.398677726,0.44472919
GO_0007018,AT,0,0
GO_0007031,AT,0.661001569,0.541161488
GO_0007040,AT,0,0
GO_0007049,AT,0.349936839,0.50046183
GO_0007059,AT,0.195679035,0.136550758
GO_0007155,AT,0,0
GO_0007163,AT,0,0
GO_0007568,AT,0.085802716,0.117043317
GO_0008361,AT,0.152333824,0.07571488
GO_0009295,AT,-0.122720419,-0.195197235
GO_0012501,AT,0.101337857,0.118564535
GO_0015979,AT,0.186449495,0.127112645
GO_0016071,AT,0.266050439,0.356923701
GO_0016073,AT,0.164162811,0.045047019
GO_0016192,AT,0.236900227,0.38697037
GO_0022414,AT,-0.003936786,0.067931596
GO_0022600,AT,0,0
GO_0023052,AT,0.087068184,0.075926668
GO_0030154,AT,0.12221465,0.188232355
GO_0030163,AT,0.185120927,0.249529769
GO_0030198,AT,0,0
GO_0031047,AT,0.102240531,0.14857234
GO_0032200,AT,-0.013268184,0.057711736
GO_0034330,AT,0,0
GO_0036211,AT,0.030473405,0.020739166
GO_0042060,AT,0,0
GO_0042254,AT,0.317420887,0.408032537
GO_0044782,AT,0,0
GO_0048856,AT,0.193170282,0.191662486
GO_0048870,AT,0,0
GO_0050877,AT,0,0
GO_0050886,AT,0,0
GO_0051301,AT,0.31588915,0.506809033
GO_0051604,AT,0.166137259,0.131233683
GO_0051726,AT,0.318519838,0.428674443
GO_0055065,AT,0.281675113,0.303587841
GO_0055085,AT,0.119248292,0.073811491
GO_0055086,AT,0.078506034,0.207419876
GO_0061007,AT,0,0
GO_0061024,AT,0.225818022,0.342934422
GO_0065003,AT,0.266008858,0.330797162
GO_0071554,AT,0.079738232,0.122818579
GO_0071941,AT,0.308870072,0.291390776
GO_0072659,AT,-0.173434582,-0.121250667
GO_0098542,AT,0.177823843,0.17742588
GO_0098754,AT,0.3445088,0.390756505
GO_0140013,AT,0.283941961,0.387432496
GO_0140014,AT,0.547147848,0.522274337
GO_0140053,AT,0.262740299,0.481409717
GO_1901135,AT,0.281888682,0.263883586
GO_0000278,CE,0.188334357,0.363376655
GO_0000502,CE,0.280782748,0.06447396
GO_0000902,CE,0.117787735,0.136744763
GO_0000910,CE,0.117793349,0.270436719
GO_0002181,CE,0.244482044,0.226519077
GO_0002376,CE,0.164014716,0.203952515
GO_0003012,CE,0.501659149,0.401992064
GO_0003013,CE,0,0
GO_0003014,CE,0,0
GO_0003016,CE,0,0
GO_0005975,CE,0.268823225,0.343283625
GO_0006091,CE,0.135527705,0.173486668
GO_0006099,CE,0.211847353,0.075204201
GO_0006259,CE,0.257814877,0.404886412
GO_0006260,CE,0.365505315,0.300326185
GO_0006281,CE,0.308744147,0.371539116
GO_0006310,CE,0.177207738,0.237861085
GO_0006325,CE,0.157569147,0.297541301
GO_0006351,CE,0.275365019,0.362367742
GO_0006355,CE,0.077825695,0.097111951
GO_0006399,CE,0.031485693,-0.017160225
GO_0006412,CE,0.206500637,0.219115939
GO_0006457,CE,0.168814657,0.196428987
GO_0006486,CE,0.118197321,0.271342846
GO_0006520,CE,0.05001537,0.199125653
GO_0006575,CE,0.172828879,0.289977678
GO_0006629,CE,0.183738096,0.287458984
GO_0006766,CE,0,0
GO_0006790,CE,0.158632919,0.266147202
GO_0006886,CE,0.048735261,0.186524984
GO_0006913,CE,0.257187106,0.372550744
GO_0006914,CE,0.423426772,0.462003058
GO_0006954,CE,0,0
GO_0007005,CE,0.154128342,0.221867714
GO_0007010,CE,0.092609786,0.116936923
GO_0007018,CE,0.245116865,0.512246025
GO_0007031,CE,0.602538068,0.325027575
GO_0007040,CE,0.200829597,0.167956491
GO_0007049,CE,0.246325254,0.424738392
GO_0007059,CE,0.24231325,0.346874666
GO_0007155,CE,0.302525137,0.325097621
GO_0007163,CE,0.188124658,0.274045907
