GO_ID,SPECIES,local_cc_10,edges_10
GO_0000278,AT,0.208145455,0.179876669
GO_0000278,CE,0.188334357,0.363376655
GO_0000278,DM,0.241599999,0.360609885
GO_0000278,DR,0.289133075,0.37220851
GO_0000278,HS,0.29904109,0.395867381
GO_0000278,SC,0.314004831,0.456801644
GO_0000278,SP,0.235529466,0.322208835
GO_0000502,AT,0.602446242,0.467331292
GO_0000502,CE,0.280782748,0.06447396
GO_0000502,DM,0.408690361,0.099189553
GO_0000502,DR,0.647253579,0.333200949
GO_0000502,HS,0.581466226,0.376006445
GO_0000502,SC,0.76502585,0.560251204
GO_0000502,SP,0.599365481,0.085135514
GO_0005975,AT,0.166930236,0.291665143
GO_0005975,CE,0.268823225,0.343283625
GO_0005975,DM,0.047521894,0.202971746
GO_0005975,DR,0.118061664,0.250927372
GO_0005975,HS,0.241960097,0.240613257
GO_0005975,SC,0.205253961,0.406098636
GO_0005975,SP,0.35954372,0.438157876
GO_0006091,AT,0.314564615,0.453954259
GO_0006091,CE,0.135527705,0.173486668
GO_0006091,DM,0.204314907,0.500208869
GO_0006091,DR,0.424832131,0.494891073
GO_0006091,HS,0.465046728,0.554555661
GO_0006091,SC,0.317818247,0.414372552
GO_0006091,SP,0.2321442,0.290785546
GO_0006259,AT,0.365376712,0.51462849
GO_0006259,CE,0.257814877,0.404886412
GO_0006259,DM,0.25041236,0.387859471
GO_0006259,DR,0.243557469,0.418217448
GO_0006259,HS,0.337795114,0.485640508
GO_0006259,SC,0.204457923,0.390980765
GO_0006259,SP,0.216620088,0.37079271
GO_0006260,AT,0.334096105,0.408381292
GO_0006260,CE,0.365505315,0.300326185
GO_0006260,DM,0.33783136,0.442887898
GO_0006260,DR,0.179906713,0.346837281
GO_0006260,HS,0.385360098,0.542594008
GO_0006260,SC,0.458419384,0.57640472
GO_0006260,SP,0.352459713,0.450170164
GO_0006281,AT,0.400731575,0.524422627
GO_0006281,CE,0.308744147,0.371539116
GO_0006281,DM,0.349984969,0.435671187
GO_0006281,DR,0.294464189,0.406457341
GO_0006281,HS,0.334579881,0.485014449
GO_0006281,SC,0.190572529,0.352878202
GO_0006281,SP,0.186054646,0.375624222
GO_0006310,AT,0.268366009,0.430061314
GO_0006310,CE,0.177207738,0.237861085
GO_0006310,DM,0.225124252,0.412717236
GO_0006310,DR,0.244895124,0.364260925
GO_0006310,HS,0.323275639,0.45172231
GO_0006310,SC,0.312656021,0.411792791
GO_0006310,SP,0.233312746,0.366380226
GO_0006325,AT,0.163110746,0.286461599
GO_0006325,CE,0.157569147,0.297541301
GO_0006325,DM,0.185726146,0.398114395
GO_0006325,DR,0.111816248,0.210644411
GO_0006325,HS,0.271705491,0.278270637
GO_0006325,SC,0.145086765,0.414477274
GO_0006325,SP,0.185197926,0.339002272
GO_0006351,AT,0.399920603,0.482800852
GO_0006351,CE,0.275365019,0.362367742
GO_0006351,DM,0.314070052,0.290575877
GO_0006351,DR,0.412133144,0.445030809
GO_0006351,HS,0.40689407,0.51038244
GO_0006351,SC,0.245488733,0.465583038
GO_0006351,SP,0.3273978,0.382463194
GO_0006412,AT,0.367117605,0.518835498
GO_0006412,CE,0.206500637,0.219115939
GO_0006412,DM,0.174475932,0.205415536
GO_0006412,DR,0.289549571,0.357017013
GO_0006412,HS,0.452461344,0.468882655
GO_0006412,SC,0.326378056,0.484078118
GO_0006412,SP,0.384386797,0.479171542
GO_0006486,AT,0.261303816,0.311754776
GO_0006486,CE,0.118197321,0.271342846
GO_0006486,DM,0.232082548,0.348424962
GO_0006486,DR,0.128569592,0.230179212
GO_0006486,HS,0.244369776,0.380301318
GO_0006486,SC,0.382094076,0.441649794
GO_0006486,SP,0.271172331,0.430963797
GO_0006913,AT,0.269825788,0.325525479
GO_0006913,CE,0.257187106,0.372550744
GO_0006913,DM,0.076012254,0.287419713
GO_0006913,DR,0.285217187,0.250237122
GO_0006913,HS,0.323548819,0.459783888
GO_0006913,SC,0.222253808,0.317174032
GO_0006913,SP,0.284870751,0.384420463
GO_0006914,AT,0.419325096,0.414664976
GO_0006914,CE,0.423426772,0.462003058
GO_0006914,DM,0.297626204,0.305762697
GO_0006914,DR,0.352063296,0.407826845
GO_0006914,HS,0.216329943,0.286639243
GO_0006914,SC,0.204497552,0.287698134
GO_0006914,SP,0.304469944,0.425890404
GO_0007005,AT,0.377982741,0.419555712
GO_0007005,CE,0.154128342,0.221867714
GO_0007005,DM,0.215443617,0.244962739
GO_0007005,DR,0.20357068,0.297249914
GO_0007005,HS,0.277275166,0.342028666
GO_0007005,SC,0.170276115,0.375076607
GO_0007005,SP,0.321166362,0.369530605
GO_0007031,AT,0.661001569,0.541161488
GO_0007031,CE,0.602538068,0.325027575
GO_0007031,DM,0.638439124,0.494486176
GO_0007031,DR,0.743020741,0.356845262
GO_0007031,HS,0.615808519,0.545074133
GO_0007031,SC,0.515617808,0.6893007
GO_0007031,SP,0.60976865,0.418494668
GO_0007049,AT,0.349936839,0.50046183
GO_0007049,CE,0.246325254,0.424738392
GO_0007049,DM,0.296446827,0.422146954
GO_0007049,DR,0.357729141,0.498779636
GO_0007049,HS,0.230695513,0.325508154
GO_0007049,SC,0.25638614,0.465489971
GO_0007049,SP,0.288402327,0.443386096
GO_0007059,AT,0.195679035,0.136550758
GO_0007059,CE,0.24231325,0.346874666
GO_0007059,DM,0.300285811,0.415794846
GO_0007059,DR,0.21254661,0.26753655
GO_0007059,HS,0.122639637,0.306877884
GO_0007059,SC,0.192478255,0.286661681
GO_0007059,SP,0.279849105,0.346850617
GO_0016071,AT,0.266050439,0.356923701
GO_0016071,CE,0.169959075,0.193453405
GO_0016071,DM,0.24594662,0.284980948
GO_0016071,DR,0.18309926,0.267880625
GO_0016071,HS,0.270899835,0.392712412
GO_0016071,SC,0.256973326,0.392409774
GO_0016071,SP,0.28811802,0.367659176
GO_0016192,AT,0.236900227,0.38697037
GO_0016192,CE,0.210358604,0.354055174
